Mouse,Gender,Batch,Femur length (mm),BV/TV (%),BMD (mgHA/cm3),BS/BV (mm2/mm3),Conn.D. (1/mm3),SMI,Tb.N (1/mm),Tb.Th (mm),Tb.Sp (mm),Ct.Ar[mm2],Ma.Ar[mm2],Tt.Ar[mm2],Ct.Ar/Tt.Ar (%),Ct.Th (mm),Ct.TMD (mgHA/cm3),Cort. Porosity (%),pMOI[mm4],Imax[mm4],Imin[mm4]
313,M,6,15.77,18.52,250,47.25,158,1.833,4.780,0.054,0.198,0.961,0.895,1.856,51.79,0.230,1233,0.678,0.424,0.247,0.177
314,M,6,14.88,12.98,203,51.64,90,2.575,4.177,0.053,0.238,0.641,0.729,1.371,46.80,0.171,1225,0.777,0.220,0.133,0.087
315,M,6,15.28,13.04,208,57.57,138,2.581,4.843,0.048,0.204,0.926,0.627,1.553,59.61,0.248,1241,0.624,0.327,0.197,0.130
316,M,6,14.43,18.62,248,52.98,215,1.977,5.452,0.048,0.176,0.753,0.611,1.363,55.19,0.211,1238,0.772,0.238,0.137,0.102
317,M,6,14.22,8.10,141,49.36,50,2.013,2.813,0.051,0.362,0.756,1.071,1.827,41.38,0.174,1202,0.873,0.363,0.232,0.131
318,M,6,15.88,14.93,207,49.31,140,2.313,4.476,0.054,0.223,1.032,0.743,1.774,58.15,0.257,1219,0.572,0.423,0.255,0.167
319,M,6,15.38,22.38,275,48.39,235,1.753,5.917,0.053,0.163,0.913,0.693,1.606,56.86,0.238,1223,0.581,0.339,0.197,0.142
320,M,6,15.53,5.30,117,53.49,31,3.033,2.383,0.051,0.432,0.777,0.701,1.478,52.57,0.208,1192,0.668,0.276,0.169,0.107
321,M,6,15.63,4.61,121,57.00,24,2.705,1.941,0.046,0.524,0.771,0.868,1.639,47.07,0.191,1207,0.658,0.316,0.194,0.122
322,M,6,15.13,10.88,179,58.55,102,2.629,4.414,0.047,0.225,0.851,0.587,1.437,59.18,0.233,1247,0.685,0.278,0.163,0.114
323,M,6,14.58,7.58,146,51.32,36,2.584,2.652,0.053,0.390,0.707,0.806,1.513,46.72,0.182,1218,0.718,0.274,0.178,0.095
324,M,6,15.38,7.53,141,59.92,67,2.913,3.427,0.048,0.291,1.036,1.183,2.219,46.68,0.216,1204,0.629,0.582,0.369,0.213
325,M,6,15.88,10.28,179,56.73,80,2.894,4.171,0.049,0.237,0.815,0.811,1.627,50.14,0.202,1207,1.236,0.325,0.204,0.121
326,M,6,15.23,7.98,160,69.33,80,2.867,4.159,0.040,0.238,0.821,0.666,1.486,55.20,0.228,1237,0.652,0.288,0.174,0.114
327,M,6,15.08,13.70,194,49.76,123,2.058,4.033,0.052,0.246,0.747,1.076,1.822,40.97,0.171,1199,0.714,0.356,0.218,0.138
328,M,6,14.50,15.38,215,52.15,141,1.891,4.383,0.049,0.217,0.694,0.754,1.448,47.94,0.185,1206,0.787,0.261,0.178,0.082
329,F,6,14.38,15.54,221,43.30,121,2.429,3.991,0.062,0.259,0.670,0.691,1.361,49.21,0.181,1220,0.710,0.220,0.123,0.096
330,F,6,14.33,7.04,146,52.58,33,2.962,2.807,0.054,0.358,0.549,0.500,1.049,52.36,0.172,1244,0.649,0.136,0.073,0.063
331,F,6,14.44,6.53,156,49.92,31,2.956,2.715,0.056,0.375,0.703,0.511,1.213,57.92,0.213,1260,0.515,0.195,0.111,0.083
332,F,6,15.18,12.85,200,43.54,76,1.607,2.991,0.057,0.334,0.806,0.700,1.505,53.53,0.210,1222,0.659,0.296,0.194,0.102
333,F,6,14.43,12.77,188,49.07,117,1.988,3.556,0.053,0.290,0.617,0.911,1.528,40.35,0.153,1186,0.774,0.245,0.150,0.095
334,F,6,15.69,34.79,380,33.11,219,1.122,6.229,0.077,0.148,1.002,0.736,1.738,57.64,0.243,1229,1.157,0.390,0.226,0.165
335,F,6,14.16,8.95,162,45.70,56,2.542,2.738,0.061,0.378,0.664,0.451,1.116,59.55,0.208,1267,0.564,0.168,0.098,0.070
336,F,6,15.13,22.70,286,43.79,175,1.516,5.081,0.057,0.188,0.785,0.435,1.221,64.33,0.238,1279,0.596,0.217,0.142,0.075
337,F,6,14.67,21.80,276,44.05,188,1.899,5.288,0.060,0.187,0.750,0.701,1.451,51.69,0.199,1226,1.250,0.258,0.146,0.113
338,F,6,14.99,15.89,231,37.91,82,2.013,3.566,0.069,0.297,0.888,0.917,1.805,49.21,0.212,1204,0.572,0.393,0.235,0.157
339,F,6,14.73,14.78,212,52.27,156,2.350,4.632,0.051,0.212,0.730,0.725,1.454,50.18,0.186,1199,0.784,0.262,0.168,0.095
340,F,6,14.63,19.46,250,51.35,230,1.647,5.357,0.049,0.183,0.577,0.582,1.159,49.82,0.171,1218,0.718,0.162,0.091,0.071
341,F,6,14.74,17.64,245,45.68,125,2.002,4.565,0.056,0.218,0.839,0.642,1.481,56.66,0.228,1203,0.649,0.288,0.170,0.117
342,F,6,14.29,8.28,168,53.43,51,2.938,3.630,0.050,0.281,0.746,0.844,1.590,46.93,0.183,1203,0.704,0.295,0.179,0.117
343,F,6,14.48,11.32,194,47.26,64,2.621,3.491,0.058,0.289,0.761,0.735,1.496,50.89,0.197,1269,0.613,0.276,0.167,0.109
344,F,6,15.74,8.14,161,57.02,57,3.001,3.790,0.049,0.266,0.815,0.696,1.511,53.96,0.218,1241,0.679,0.295,0.182,0.112
345,F,6,15.42,9.60,173,47.65,42,2.506,3.245,0.057,0.307,0.927,1.060,1.987,46.67,0.211,1214,0.686,0.456,0.267,0.189
346,M,6,15.65,9.99,166,62.42,101,2.809,4.379,0.045,0.225,0.914,0.901,1.814,50.35,0.215,1209,0.587,0.402,0.240,0.162
347,M,6,15.74,10.98,184,55.50,90,2.633,4.163,0.050,0.239,0.850,0.764,1.614,52.68,0.219,1251,0.628,0.325,0.187,0.138
348,M,6,15.94,14.69,205,55.08,165,2.246,4.827,0.047,0.206,0.779,0.810,1.589,49.01,0.200,1188,0.826,0.308,0.187,0.121
349,M,6,16.54,14.53,195,50.22,139,1.876,4.178,0.051,0.241,0.909,1.237,2.146,42.34,0.178,1168,2.176,0.494,0.295,0.199
350,M,6,15.17,16.11,218,52.95,161,2.218,5.123,0.050,0.190,0.751,0.763,1.514,49.58,0.195,1214,0.637,0.277,0.165,0.111
351,M,6,15.13,11.45,183,51.42,93,2.142,3.659,0.052,0.277,0.854,0.977,1.831,46.64,0.201,1243,0.679,0.391,0.245,0.146
352,M,6,14.63,13.85,197,58.22,162,2.263,4.885,0.046,0.201,0.791,0.782,1.573,50.27,0.207,1226,0.712,0.303,0.182,0.121
353,M,6,15.10,9.15,153,59.87,80,2.640,3.643,0.045,0.275,0.745,0.877,1.621,45.93,0.186,1213,0.753,0.306,0.193,0.113
354,M,6,15.99,11.00,171,63.73,136,2.595,4.649,0.044,0.210,0.976,1.031,2.006,48.63,0.220,1212,0.687,0.502,0.329,0.173
