Mouse,Gender,Batch,Femur length (mm),BV/TV (%),BMD (mgHA/cm3),BS/BV (mm2/mm3),Conn.D. (1/mm3),SMI,Tb.N (1/mm),Tb.Th (mm),Tb.Sp (mm),Ct.Ar[mm2],Ma.Ar[mm2],Tt.Ar[mm2],Ct.Ar/Tt.Ar (%),Ct.Th (mm),Ct.TMD (mgHA/cm3),Cort. Porosity (%),pMOI[mm4],Imax[mm4],Imin[mm4]
443,F,8,15.37,13.44,207,45.00,76,2.456,3.98,0.060,0.253,0.960,0.871,1.830,52.44,0.211,1221,1.279,0.436,0.293,0.143
444,F,8,15.04,14.71,211,39.98,65,1.894,3.15,0.066,0.324,0.996,0.837,1.833,54.35,0.234,1222,0.643,0.438,0.280,0.159
445,F,8,14.12,25.24,296,42.64,196,1.243,5.55,0.056,0.172,0.788,0.468,1.256,62.76,0.241,1236,0.512,0.220,0.130,0.090
446,F,8,15.33,24.57,299,38.01,157,1.689,5.18,0.069,0.188,1.015,0.547,1.562,64.97,0.279,1220,0.629,0.351,0.220,0.131
447,F,8,15.27,6.41,143,54.01,29,3.326,3.23,0.053,0.313,0.971,0.715,1.687,57.59,0.245,1280,0.714,0.375,0.214,0.161
448,F,8,13.92,7.37,142,42.58,28,2.155,2.13,0.062,0.489,0.797,0.574,1.371,58.15,0.223,1237,0.648,0.258,0.165,0.093
449,F,8,15.24,10.61,183,45.97,52,2.322,3.12,0.057,0.328,0.726,0.459,1.185,61.29,0.222,1277,0.583,0.195,0.122,0.074
450,F,8,13.88,16.01,212,48.12,168,1.892,4.05,0.052,0.255,0.560,0.416,0.976,57.38,0.184,1233,0.506,0.125,0.071,0.054
451,F,8,14.63,15.49,227,48.63,130,2.195,4.34,0.054,0.232,0.622,0.501,1.122,55.41,0.191,1203,0.696,0.163,0.096,0.067
452,F,8,14.83,20.38,261,44.77,177,2.081,5.20,0.059,0.186,0.929,0.854,1.783,52.10,0.220,1251,0.911,0.398,0.242,0.156
453,F,8,15.54,26.10,304,38.87,191,1.416,5.27,0.064,0.187,0.791,0.549,1.340,59.03,0.226,1282,0.665,0.239,0.137,0.102
454,F,8,15.00,9.87,166,46.00,74,2.373,2.85,0.058,0.360,0.720,0.787,1.508,47.78,0.184,1257,0.726,0.268,0.161,0.107
455,F,8,15.33,23.55,296,40.77,172,1.688,5.20,0.062,0.192,0.764,0.549,1.313,58.18,0.222,1273,0.528,0.227,0.120,0.107
456,F,8,14.18,22.48,274,48.39,249,1.554,5.66,0.051,0.170,0.720,0.720,1.439,50.00,0.191,1227,0.661,0.252,0.153,0.099
457,F,8,14.92,17.47,236,41.96,128,1.871,3.70,0.061,0.278,0.815,0.818,1.633,49.89,0.201,1245,0.658,0.322,0.186,0.136
458,M,8,15.34,31.27,344,37.78,209,0.797,5.81,0.062,0.159,1.106,0.608,1.714,64.52,0.288,1245,1.094,0.418,0.278,0.140
459,M,8,14.99,11.83,200,54.70,78,2.568,4.40,0.049,0.225,0.790,0.637,1.427,55.35,0.215,1240,0.734,0.272,0.176,0.096
460,M,8,15.13,10.70,173,53.13,96,2.373,3.65,0.048,0.280,0.678,0.583,1.261,53.78,0.197,1235,0.703,0.202,0.118,0.084
461,M,8,14.63,24.35,283,44.91,225,1.350,5.65,0.054,0.167,0.884,0.914,1.798,49.17,0.211,1197,0.744,0.394,0.248,0.146
462,M,8,15.49,19.59,252,51.26,225,2.137,5.60,0.051,0.171,0.950,1.007,1.958,48.54,0.213,1225,0.906,0.464,0.294,0.170
463,M,8,14.68,19.04,252,46.91,150,1.848,4.97,0.053,0.195,0.911,0.594,1.505,60.52,0.247,1247,1.121,0.309,0.192,0.116
464,M,8,14.67,14.56,211,50.50,122,2.004,4.26,0.051,0.233,0.709,0.619,1.329,53.39,0.198,1214,0.648,0.229,0.145,0.084
465,M,8,15.38,11.18,179,60.12,120,2.371,4.30,0.045,0.228,0.809,1.056,1.864,43.37,0.184,1209,0.779,0.388,0.241,0.147
466,M,8,14.38,13.42,197,49.28,102,1.757,3.61,0.048,0.288,0.632,0.611,1.243,50.82,0.186,1226,0.815,0.191,0.115,0.076
467,M,8,16.29,17.20,226,53.58,198,1.933,5.06,0.048,0.191,1.027,0.961,1.988,51.65,0.217,1236,1.307,0.479,0.287,0.192
468,M,8,15.09,7.60,142,48.00,46,1.971,2.36,0.052,0.436,0.670,0.799,1.469,45.60,0.169,1199,0.785,0.250,0.150,0.100
469,M,8,14.24,7.37,154,58.89,52,2.756,3.40,0.045,0.296,0.596,0.584,1.180,50.51,0.173,1225,0.736,0.173,0.108,0.066
470,M,8,15.43,15.66,219,57.71,209,2.189,5.37,0.045,0.183,0.717,0.930,1.648,43.54,0.170,1173,0.820,0.294,0.162,0.133
471,M,8,15.83,17.73,233,48.71,149,2.099,5.02,0.053,0.195,0.839,0.810,1.650,50.88,0.209,1219,0.641,0.342,0.217,0.125
472,M,8,15.13,7.13,145,62.05,52,2.803,3.58,0.042,0.282,0.791,0.640,1.431,55.28,0.217,1223,0.600,0.268,0.166,0.102
473,M,8,15.33,13.87,217,54.32,117,2.549,4.70,0.051,0.206,1.049,0.567,1.616,64.92,0.276,1290,2.082,0.378,0.251,0.127
474,M,8,13.83,7.02,157,54.96,26,2.995,3.13,0.050,0.319,0.892,0.705,1.597,55.84,0.229,1253,0.652,0.343,0.224,0.119
475,M,8,15.79,14.47,215,47.40,96,2.156,4.07,0.055,0.242,0.798,0.615,1.413,56.46,0.218,1236,0.682,0.271,0.179,0.092
476,M,8,13.63,10.24,176,54.85,61,2.508,3.87,0.047,0.254,0.856,0.748,1.605,53.36,0.220,1266,0.627,0.338,0.223,0.115
477,M,8,14.23,9.85,172,57.19,69,2.600,3.87,0.048,0.258,0.691,0.582,1.273,54.30,0.195,1209,0.808,0.217,0.141,0.076
478,F,8,15.24,14.62,209,51.69,120,2.291,4.39,0.052,0.222,0.830,0.569,1.399,59.32,0.240,1223,0.780,0.261,0.156,0.105
479,F,8,15.32,14.48,224,42.29,82,2.055,3.38,0.062,0.306,0.748,0.607,1.356,55.20,0.212,1258,0.553,0.237,0.142,0.095
480,F,8,14.16,27.01,316,37.60,202,1.124,5.27,0.065,0.192,0.914,0.618,1.532,59.66,0.246,1222,0.662,0.325,0.207,0.118
481,F,8,13.99,19.06,251,48.23,191,1.945,5.08,0.054,0.197,0.804,0.700,1.504,53.48,0.215,1200,0.890,0.284,0.163,0.121
482,F,8,15.48,21.80,281,35.67,97,1.618,3.92,0.072,0.257,0.883,0.570,1.453,60.75,0.243,1290,0.544,0.295,0.187,0.108
483,F,8,14.28,5.84,126,58.34,33,2.542,2.37,0.046,0.423,0.569,0.622,1.191,47.76,0.163,1188,0.723,0.169,0.106,0.063
484,F,8,14.53,18.72,252,42.59,135,1.994,4.57,0.062,0.219,0.861,0.809,1.670,51.53,0.211,1243,0.622,0.353,0.227,0.126
485,F,8,14.54,19.16,243,46.90,171,1.774,4.89,0.054,0.205,0.782,0.813,1.595,49.03,0.195,1210,0.690,0.306,0.182,0.124
486,F,8,14.68,40.11,418,32.49,227,0.229,6.85,0.072,0.131,0.999,0.494,1.493,66.92,0.266,1266,0.936,0.320,0.194,0.126
487,F,8,13.51,7.41,157,45.95,31,2.323,2.46,0.057,0.414,0.718,0.333,1.051,68.34,0.240,1273,0.472,0.167,0.110,0.057
488,F,8,15.32,15.69,223,46.48,134,2.215,4.37,0.057,0.234,0.700,0.541,1.241,56.41,0.210,1233,0.594,0.200,0.116,0.084
489,F,8,14.49,19.66,270,44.75,139,1.895,4.78,0.058,0.203,0.867,0.536,1.402,61.81,0.249,1242,0.616,0.274,0.165,0.109
490,F,8,15.73,6.49,142,43.94,32,2.311,1.93,0.058,0.535,0.692,0.595,1.287,53.76,0.196,1267,0.605,0.211,0.125,0.086
491,F,8,14.93,17.05,248,40.67,90,2.222,4.11,0.067,0.246,0.877,0.536,1.413,62.08,0.254,1300,0.549,0.276,0.159,0.117
492,F,8,14.13,20.56,275,38.63,115,1.639,4.11,0.066,0.246,0.886,0.646,1.532,57.86,0.232,1239,0.674,0.322,0.210,0.112
493,F,8,16.13,20.37,267,38.20,105,1.751,4.55,0.068,0.223,0.888,1.001,1.889,47.02,0.202,1262,0.842,0.425,0.272,0.153
494,F,8,15.13,12.94,202,51.27,129,2.326,3.89,0.051,0.266,0.638,0.462,1.100,58.00,0.203,1286,0.701,0.160,0.092,0.067
495,F,8,15.08,13.79,217,44.20,99,2.231,3.20,0.062,0.331,1.054,0.672,1.726,61.07,0.271,1307,0.600,0.409,0.241,0.168
496,F,8,15.88,21.84,286,39.23,137,1.781,4.46,0.067,0.221,1.006,0.494,1.500,67.05,0.282,1314,1.464,0.320,0.178,0.142
497,F,8,15.98,20.07,260,38.87,128,1.470,3.82,0.064,0.274,0.796,0.663,1.459,54.54,0.217,1246,0.778,0.272,0.159,0.113
498,M,9,14.42,5.68,126,61.32,41,3.155,3.15,0.047,0.321,0.635,0.610,1.245,50.99,0.181,1203,0.750,0.192,0.115,0.077
499,M,9,14.79,10.50,170,60.88,106,2.576,4.30,0.044,0.231,0.652,0.793,1.445,45.12,0.169,1182,1.658,0.243,0.156,0.087
500,M,9,15.33,15.47,217,52.42,130,2.174,4.79,0.050,0.202,0.904,0.945,1.849,48.87,0.217,1191,0.930,0.415,0.258,0.157
501,M,9,15.63,21.01,259,48.55,269,1.819,5.60,0.052,0.179,0.655,0.645,1.300,50.40,0.183,1230,0.808,0.210,0.133,0.076
502,M,9,13.99,11.00,182,52.69,76,2.410,3.60,0.052,0.277,0.684,0.702,1.386,49.38,0.185,1210,0.648,0.238,0.154,0.084
503,M,9,15.23,9.36,157,61.59,103,2.408,3.71,0.043,0.270,0.837,1.006,1.843,45.41,0.191,1166,0.896,0.396,0.254,0.142
504,M,9,14.88,28.91,319,39.63,220,1.085,5.92,0.062,0.159,0.806,0.966,1.772,45.51,0.185,1128,1.830,0.358,0.214,0.144
505,M,9,14.78,8.61,158,60.39,75,2.574,3.85,0.044,0.260,0.637,0.848,1.485,42.91,0.157,1200,1.029,0.245,0.156,0.090
506,M,9,15.08,6.49,139,58.69,49,2.525,2.53,0.045,0.392,0.698,0.850,1.547,45.10,0.174,1158,0.788,0.273,0.167,0.106
507,M,9,15.38,8.03,142,50.47,48,2.666,2.59,0.056,0.391,0.760,0.707,1.467,51.81,0.207,1198,0.766,0.264,0.143,0.121
508,M,9,14.84,7.93,148,59.18,65,2.654,3.56,0.047,0.280,0.754,0.838,1.592,47.38,0.194,1185,0.700,0.303,0.192,0.111
509,M,9,13.62,10.92,176,60.53,130,2.633,4.48,0.044,0.222,0.790,0.623,1.412,55.92,0.220,1183,0.936,0.272,0.178,0.094
510,M,9,15.28,30.38,324,42.67,286,0.712,6.50,0.055,0.141,0.921,1.171,2.092,44.01,0.183,1163,2.798,0.491,0.312,0.179
511,M,9,14.63,11.25,190,50.80,79,2.552,3.86,0.054,0.257,0.684,0.547,1.231,55.55,0.200,1226,0.744,0.198,0.120,0.077
512,M,9,14.98,12.27,193,59.74,129,2.440,4.68,0.045,0.210,0.919,1.133,2.052,44.77,0.201,1172,0.867,0.479,0.296,0.182
513,M,9,15.08,24.85,285,44.62,269,1.526,5.81,0.056,0.163,0.788,0.976,1.764,44.67,0.182,1145,1.340,0.349,0.207,0.141
514,M,9,15.63,15.73,217,49.03,114,1.793,4.34,0.051,0.225,0.780,1.038,1.819,42.90,0.181,1200,0.911,0.370,0.226,0.145
515,M,9,14.08,15.97,212,51.06,134,1.635,4.41,0.049,0.222,0.825,1.015,1.840,44.84,0.193,1166,0.964,0.391,0.252,0.139
516,M,9,16.19,20.96,256,49.58,250,1.801,5.50,0.051,0.177,0.904,1.107,2.011,44.96,0.197,1221,0.831,0.463,0.290,0.173
517,M,9,14.88,9.78,168,58.96,74,2.557,4.05,0.045,0.243,0.685,1.018,1.703,40.24,0.162,1159,0.903,0.311,0.185,0.125
518,F,9,14.24,20.51,266,45.54,189,1.987,5.10,0.058,0.193,0.620,0.723,1.343,46.14,0.162,1260,0.615,0.211,0.133,0.077
519,F,9,14.78,11.66,196,41.78,46,2.577,3.35,0.069,0.314,0.790,0.563,1.354,58.38,0.226,1227,0.681,0.250,0.158,0.091
520,F,9,14.88,25.88,309,37.14,142,1.388,5.01,0.069,0.200,0.945,0.820,1.765,53.52,0.230,1253,0.832,0.392,0.231,0.160
521,F,9,15.13,19.02,250,40.36,103,1.860,4.36,0.064,0.232,0.897,0.724,1.621,55.34,0.226,1225,0.964,0.335,0.186,0.150
522,F,9,15.98,22.16,274,40.43,151,1.638,4.93,0.062,0.207,0.849,0.591,1.440,58.97,0.238,1242,0.543,0.278,0.162,0.116
523,F,9,16.44,9.66,157,51.39,73,2.407,3.32,0.050,0.308,0.684,0.802,1.485,46.02,0.172,1206,0.876,0.257,0.162,0.095
524,F,9,14.08,7.02,144,57.67,41,2.770,3.00,0.047,0.339,0.602,0.621,1.223,49.21,0.171,1206,0.755,0.177,0.096,0.081
525,F,9,14.43,8.41,173,43.22,32,2.669,2.84,0.062,0.365,0.826,0.484,1.310,63.06,0.248,1230,0.741,0.239,0.143,0.095
526,F,9,15.38,14.18,209,48.04,94,2.144,4.12,0.054,0.241,0.701,0.703,1.404,49.95,0.187,1214,0.785,0.237,0.139,0.099
527,F,9,14.13,9.82,175,49.10,63,2.525,3.26,0.055,0.318,0.595,0.673,1.268,46.93,0.165,1232,0.753,0.188,0.114,0.074
528,F,9,14.67,24.51,291,43.09,215,1.519,5.55,0.059,0.176,0.779,0.767,1.546,50.41,0.201,1208,0.862,0.287,0.159,0.128
529,F,9,14.84,9.34,170,45.08,65,1.928,2.19,0.056,0.478,0.774,0.597,1.371,56.47,0.219,1256,0.701,0.249,0.153,0.096
530,F,9,15.29,14.69,228,38.86,63,2.310,3.71,0.068,0.274,0.943,0.712,1.656,56.98,0.244,1254,0.674,0.365,0.227,0.138
531,F,9,15.63,13.90,204,47.07,103,2.484,4.36,0.057,0.232,0.822,0.901,1.723,47.71,0.196,1229,0.635,0.350,0.212,0.138
532,F,9,14.74,11.35,203,49.89,56,2.809,3.93,0.056,0.256,0.684,0.669,1.352,50.56,0.189,1241,0.632,0.220,0.119,0.101
533,F,9,13.88,7.29,146,49.84,43,2.345,2.52,0.052,0.410,0.582,0.582,1.163,50.01,0.170,1215,0.836,0.166,0.101,0.064
534,F,9,13.93,12.45,191,49.86,93,2.149,3.74,0.051,0.264,0.635,0.834,1.469,43.24,0.160,1204,0.796,0.240,0.150,0.090
535,F,9,14.66,9.25,165,51.73,90,2.422,3.28,0.051,0.312,0.747,0.564,1.310,57.00,0.213,1244,0.597,0.229,0.143,0.086
536,F,9,15.38,46.19,450,30.65,345,-0.231,8.01,0.076,0.121,0.971,0.462,1.433,67.75,0.263,1224,0.967,0.315,0.219,0.096
537,F,9,14.79,19.50,251,41.72,126,1.678,4.56,0.061,0.227,0.817,0.460,1.277,63.96,0.243,1208,0.738,0.234,0.150,0.084
538,M,9,14.68,11.83,181,54.97,101,2.553,4.01,0.050,0.249,0.870,0.596,1.466,59.35,0.242,1249,0.961,0.296,0.187,0.109
539,M,9,15.08,24.60,281,44.59,212,1.275,5.69,0.054,0.167,0.916,0.814,1.730,52.94,0.223,1211,0.783,0.383,0.242,0.140
540,M,9,14.93,8.12,149,61.29,77,2.457,3.45,0.044,0.291,0.655,0.803,1.458,44.92,0.167,1198,0.737,0.240,0.145,0.095
541,M,9,14.18,13.88,208,54.96,127,2.321,4.58,0.049,0.212,0.754,0.701,1.456,51.82,0.201,1208,0.697,0.266,0.163,0.103
542,M,9,15.79,12.54,196,54.03,100,2.307,4.30,0.049,0.232,0.960,1.142,2.101,45.67,0.206,1240,0.741,0.516,0.326,0.189
543,M,9,15.23,17.90,234,49.88,153,1.790,4.91,0.050,0.196,1.028,0.916,1.944,52.89,0.231,1224,0.947,0.508,0.353,0.155
544,M,9,15.17,8.58,151,48.75,45,2.290,2.51,0.052,0.408,0.742,0.760,1.502,49.39,0.191,1206,0.665,0.270,0.155,0.114
545,M,9,16.04,5.48,117,57.98,30,3.204,3.32,0.047,0.305,0.751,0.807,1.558,48.22,0.195,1197,1.071,0.290,0.174,0.115
546,M,9,15.49,7.77,147,59.61,59,2.957,3.62,0.048,0.278,0.846,0.744,1.590,53.21,0.219,1209,0.722,0.322,0.193,0.129
547,M,9,15.73,11.86,192,49.01,72,2.074,3.68,0.053,0.269,0.830,0.798,1.628,50.96,0.217,1220,0.701,0.333,0.197,0.136
548,M,9,13.92,11.74,193,59.44,100,2.458,4.65,0.044,0.212,0.672,0.770,1.442,46.59,0.179,1196,0.668,0.241,0.140,0.102
549,M,9,14.74,16.13,222,51.42,145,2.075,4.79,0.051,0.204,0.824,0.876,1.700,48.48,0.198,1211,0.678,0.356,0.230,0.126
550,M,9,14.17,6.83,136,56.99,56,2.498,3.07,0.046,0.325,0.741,0.576,1.317,56.25,0.207,1232,0.677,0.230,0.144,0.085
551,M,9,14.33,7.55,140,51.43,41,2.398,2.63,0.051,0.382,0.585,0.925,1.511,38.75,0.144,1199,0.900,0.232,0.140,0.092
552,M,9,15.11,7.26,143,53.75,33,2.725,2.98,0.049,0.342,0.795,0.767,1.562,50.88,0.221,1255,0.967,0.308,0.203,0.105
553,M,9,15.33,8.88,158,55.95,62,2.485,3.52,0.048,0.286,0.852,0.958,1.810,47.07,0.200,1198,0.679,0.386,0.225,0.161
554,M,9,15.53,8.80,159,55.35,54,2.583,3.42,0.048,0.296,0.711,0.740,1.451,48.99,0.186,1226,0.805,0.257,0.163,0.094
555,M,9,15.28,17.18,230,52.67,184,1.964,5.08,0.049,0.191,0.735,0.613,1.348,54.55,0.207,1232,0.706,0.231,0.132,0.099
556,M,9,14.83,5.70,131,52.82,35,2.372,1.99,0.049,0.512,0.743,0.695,1.438,51.65,0.199,1224,0.704,0.260,0.161,0.099
557,M,9,15.04,6.28,148,58.58,29,2.905,3.25,0.046,0.308,0.680,0.495,1.175,57.89,0.210,1258,0.639,0.188,0.112,0.075
558,F,9,14.88,17.74,238,45.03,109,1.913,4.46,0.056,0.222,0.672,0.803,1.475,45.57,0.175,1218,0.750,0.245,0.136,0.109
559,F,9,14.67,29.34,335,37.65,200,1.102,5.59,0.065,0.178,0.902,0.582,1.484,60.79,0.246,1255,0.553,0.305,0.191,0.115
560,F,9,14.88,28.31,320,41.33,242,1.168,5.72,0.059,0.162,0.795,0.696,1.491,53.29,0.207,1223,0.967,0.280,0.169,0.111
561,F,9,16.04,12.02,189,54.34,96,2.489,4.16,0.051,0.236,0.939,0.862,1.801,52.14,0.227,1253,0.581,0.403,0.232,0.170
562,F,9,13.57,41.44,402,37.75,377,-0.088,8.13,0.057,0.110,0.566,0.314,0.880,64.34,0.208,1210,0.628,0.111,0.071,0.041
563,F,9,14.93,17.82,235,48.35,144,1.962,4.85,0.052,0.203,0.710,0.510,1.220,58.19,0.216,1221,0.707,0.200,0.125,0.074
564,F,9,14.84,30.31,339,40.41,277,1.181,6.64,0.060,0.141,0.907,0.521,1.427,63.52,0.256,1265,0.839,0.286,0.171,0.115
565,F,9,15.67,15.08,224,49.78,118,2.506,4.75,0.055,0.210,0.876,0.620,1.495,58.57,0.237,1240,0.549,0.302,0.185,0.117
566,F,9,13.42,13.22,210,37.21,52,1.892,2.50,0.070,0.430,0.712,0.513,1.225,58.14,0.210,1230,0.632,0.202,0.126,0.076
567,F,9,14.88,13.56,195,52.45,125,2.207,4.43,0.049,0.226,0.725,0.776,1.501,48.29,0.186,1216,1.760,0.269,0.164,0.105
568,F,9,14.33,6.24,152,54.35,30,3.511,2.97,0.055,0.343,0.723,0.554,1.277,56.63,0.209,1246,0.637,0.217,0.136,0.082
569,F,9,16.38,7.28,141,50.50,54,2.202,2.39,0.052,0.434,0.836,0.744,1.581,52.90,0.214,1239,0.564,0.311,0.176,0.135
570,F,9,13.63,18.49,239,42.99,122,1.431,4.33,0.060,0.226,0.615,0.852,1.466,41.92,0.153,1169,1.884,0.229,0.137,0.092
571,F,9,14.08,34.96,367,37.17,269,0.710,6.63,0.063,0.139,0.709,0.476,1.184,59.84,0.213,1220,1.002,0.192,0.118,0.074
572,F,9,14.83,21.00,260,40.52,136,1.640,4.72,0.062,0.213,0.746,0.530,1.276,58.48,0.218,1241,0.640,0.221,0.138,0.083
573,F,9,14.67,16.90,234,45.39,126,1.747,3.97,0.055,0.254,0.871,0.678,1.549,56.21,0.231,1223,0.582,0.311,0.178,0.133
574,F,9,13.98,24.26,282,43.38,211,1.185,5.33,0.057,0.181,0.642,0.720,1.362,47.14,0.171,1232,0.655,0.218,0.135,0.082
575,F,9,14.28,20.76,264,40.52,143,1.468,4.23,0.062,0.244,0.702,0.552,1.255,55.98,0.204,1263,0.648,0.206,0.122,0.084
576,F,9,14.03,12.23,192,54.93,110,2.414,4.39,0.048,0.231,0.722,0.713,1.435,50.33,0.191,1215,0.651,0.252,0.147,0.105
577,F,9,14.88,15.64,229,42.46,107,2.040,3.70,0.061,0.282,0.942,0.704,1.646,57.23,0.242,1284,0.525,0.362,0.220,0.142
578,F,9,14.28,14.71,213,42.69,98,1.481,2.97,0.058,0.345,0.759,0.550,1.310,57.98,0.217,1253,0.663,0.234,0.151,0.083
579,M,10,14.33,9.14,153,52.39,67,2.219,2.88,0.050,0.358,0.781,0.751,1.533,50.98,0.203,1226,0.713,0.296,0.190,0.106
580,M,10,15.74,30.70,331,43.42,314,1.129,7.11,0.055,0.127,0.878,0.654,1.532,57.30,0.225,1177,2.096,0.313,0.194,0.119
581,M,10,14.68,8.34,142,51.39,56,2.333,2.42,0.051,0.430,0.658,0.847,1.505,43.69,0.168,1138,1.010,0.254,0.152,0.102
582,M,10,16.38,22.10,269,51.24,281,1.899,6.28,0.050,0.148,0.855,0.842,1.698,50.38,0.217,1196,0.872,0.352,0.218,0.134
583,M,10,14.39,14.56,203,51.50,120,2.059,4.40,0.052,0.221,0.914,0.846,1.759,51.93,0.219,1187,1.054,0.396,0.254,0.142
584,M,10,15.13,13.06,198,60.44,162,2.316,4.85,0.044,0.201,0.743,0.748,1.491,49.81,0.193,1224,0.952,0.278,0.179,0.099
585,M,10,14.43,5.44,135,61.70,30,2.865,2.92,0.045,0.343,0.830,0.695,1.525,54.40,0.216,1207,0.572,0.305,0.191,0.114
586,M,10,15.54,9.66,167,59.67,74,2.735,3.93,0.047,0.248,0.838,0.837,1.675,50.04,0.205,1242,0.904,0.346,0.219,0.127
587,M,10,14.78,13.54,206,54.15,114,2.483,4.59,0.051,0.212,0.945,0.763,1.708,55.34,0.235,1226,0.716,0.386,0.245,0.140
588,M,10,15.69,14.44,212,47.89,103,1.966,3.84,0.053,0.263,0.949,0.681,1.630,58.20,0.248,1268,0.703,0.364,0.233,0.131
589,M,10,16.04,10.22,163,48.68,57,2.326,3.20,0.054,0.317,0.781,0.728,1.509,51.77,0.207,1232,0.700,0.282,0.165,0.117
590,M,10,14.13,16.97,231,46.94,128,2.034,4.57,0.054,0.218,0.763,0.616,1.379,55.34,0.214,1209,0.560,0.245,0.138,0.106
591,M,10,14.78,9.05,158,44.88,52,2.235,2.46,0.058,0.428,0.762,0.634,1.396,54.57,0.214,1217,0.703,0.265,0.181,0.084
592,M,10,14.33,14.19,208,52.57,117,2.137,4.47,0.049,0.223,0.676,0.656,1.332,50.75,0.192,1217,0.905,0.224,0.144,0.080
593,M,10,14.99,16.46,223,53.56,177,2.061,4.98,0.048,0.195,0.863,0.849,1.713,50.41,0.195,1167,1.307,0.364,0.230,0.134
594,M,10,15.63,19.35,243,51.01,202,1.678,5.34,0.049,0.180,0.768,0.641,1.409,54.49,0.208,1229,1.414,0.254,0.155,0.099
595,M,10,15.23,8.51,146,54.42,86,2.063,2.47,0.046,0.420,0.698,1.116,1.814,38.49,0.156,1152,1.223,0.327,0.186,0.141
596,M,10,15.10,12.95,200,57.93,123,2.434,4.67,0.046,0.207,0.989,0.793,1.782,55.52,0.242,1213,0.673,0.426,0.276,0.150
597,M,10,15.24,11.62,184,52.66,84,2.530,4.02,0.050,0.250,0.749,0.660,1.409,53.16,0.206,1218,0.786,0.260,0.166,0.094
598,M,10,15.22,16.95,236,48.45,128,2.195,4.84,0.054,0.200,0.926,0.905,1.831,50.55,0.219,1230,0.929,0.429,0.289,0.140
599,F,10,15.38,17.95,242,46.30,144,2.034,4.87,0.056,0.205,0.742,0.552,1.294,57.35,0.211,1274,0.651,0.234,0.157,0.076
600,F,10,16.08,18.79,245,46.25,143,2.074,5.09,0.057,0.191,0.955,0.905,1.860,51.36,0.218,1276,0.926,0.428,0.260,0.168
601,F,10,15.08,13.27,207,54.51,112,2.469,4.63,0.049,0.214,0.908,0.758,1.666,54.50,0.225,1243,0.778,0.366,0.236,0.130
602,F,10,14.93,21.74,271,41.69,133,1.781,5.12,0.061,0.196,0.831,0.750,1.580,52.57,0.211,1253,0.695,0.317,0.199,0.118
603,F,10,14.68,8.66,173,57.54,53,2.936,3.72,0.048,0.274,0.669,0.557,1.227,54.57,0.199,1230,0.777,0.195,0.121,0.074
604,F,10,15.08,19.46,253,42.08,113,1.717,4.57,0.060,0.223,0.778,0.541,1.318,58.99,0.226,1268,0.657,0.232,0.135,0.097
605,F,10,15.09,12.95,196,44.92,61,1.920,3.44,0.057,0.298,0.762,1.179,1.941,39.27,0.172,1129,1.120,0.385,0.228,0.158
606,F,10,15.08,17.30,236,46.82,143,2.123,4.80,0.056,0.213,0.937,0.563,1.501,62.45,0.252,1279,1.207,0.312,0.183,0.129
607,F,10,14.68,29.24,329,37.23,183,1.100,5.85,0.065,0.164,0.985,0.812,1.797,54.84,0.237,1245,0.572,0.420,0.260,0.160
608,F,10,15.63,8.78,171,45.12,41,2.501,2.79,0.059,0.369,0.889,0.463,1.352,65.73,0.267,1227,0.571,0.263,0.161,0.102
609,F,10,13.63,18.83,246,45.28,136,1.806,4.71,0.056,0.218,0.911,0.577,1.488,61.21,0.251,1220,0.661,0.302,0.177,0.125
610,F,10,15.53,22.95,290,40.36,145,1.619,4.93,0.063,0.205,0.800,0.423,1.223,65.44,0.249,1272,0.622,0.218,0.140,0.078
611,F,10,15.38,25.88,301,40.09,190,1.393,5.72,0.062,0.172,0.890,0.732,1.621,54.87,0.229,1243,0.708,0.340,0.208,0.131
612,F,10,15.54,19.31,247,43.11,138,1.630,4.65,0.058,0.216,0.802,0.914,1.715,46.74,0.190,1190,0.670,0.345,0.214,0.131
613,F,10,13.78,11.98,184,51.98,91,2.027,3.63,0.050,0.281,0.592,0.652,1.244,47.56,0.167,1216,0.890,0.182,0.115,0.068
614,F,10,14.63,22.31,265,45.71,188,1.207,5.25,0.054,0.182,0.956,1.014,1.970,48.54,0.195,1204,2.616,0.474,0.313,0.161
615,F,10,13.83,7.94,167,41.49,17,2.297,2.39,0.062,0.434,0.608,0.535,1.143,53.17,0.182,1265,0.717,0.165,0.099,0.067
616,F,10,15.58,3.84,112,50.48,19,2.222,1.32,0.050,0.766,0.728,0.496,1.224,59.45,0.217,1223,0.747,0.208,0.136,0.072
617,F,10,14.63,29.57,322,37.72,203,0.440,5.53,0.061,0.178,0.758,0.701,1.459,51.93,0.193,1234,0.936,0.261,0.148,0.112
618,F,10,13.93,16.14,226,49.94,131,1.952,4.55,0.051,0.214,0.586,0.427,1.013,57.88,0.178,1205,1.071,0.141,0.091,0.050
619,M,11,16.03,9.29,171,52.92,59,2.764,3.48,0.053,0.291,0.839,0.816,1.655,50.70,0.208,1263,0.737,0.335,0.200,0.135
621,M,11,15.43,12.22,194,57.29,108,2.583,4.63,0.047,0.213,1.081,0.810,1.891,57.15,0.258,1279,0.819,0.486,0.311,0.174
