sample #,VOI1,VOI2,VOI3,VOI4,
199,0.0107,0.0211,0.0176,0.006,
200,0.0273,0.0132,0.0021,0.0021,
201,0.0002,0,0,0,
202,0.001,0.0032,0,0,
203,0.0061,0.0002,0,0,
204,0,0,0,0,
205,0.2348,0.4364,0.6404,0.6808,
206,0.0797,0.1827,0.038,0.0001,
207,0.0017,0,0,0,
208,0.0035,0,0,0,
209,0,0,0,0,
210,0.0013,0.0001,0,0,
211,0.1933,0.213,0.0254,0.0112,
212,0,0,0,0,
213,0,0,0,0,
214,0.0007,0,0,0,
215,0.0151,0.0117,0.0002,0,
216,0.0009,0,0,0,
217,0.0014,0.0133,0.0055,0,
218,0.0152,0.0186,0.0184,0.17,
219,0.0886,0.1386,0.0849,0.0867,
220,0.0004,0.0033,0.0018,0.0058,
221,0.1844,0.1292,0.0527,0.038,
222,0,0,0,0,
223,0.0689,0.0396,0.0148,0.0105,
224,0.0027,0,0,0,
225,0.0024,0.0046,0.0015,0.0041,
226,0.0234,0.0252,0.0027,0.0005,
227,0.0399,0.1124,0.1332,0.0606,
228,0.1939,0.256,0.1652,0.0457,
229,0.1214,0.0092,0.0038,0.0046,
230,0.0044,0.001,0.0004,0.0011,
231,0.071,0.126,0.3224,0.1408,
232,0.1658,0.0551,0.0184,0.0109,
233,0,0.0027,0,0,
234,0.0282,0.0242,0.0317,0.0086,
235,0.0001,0,0,0,
236,0,0.001,0,0.0031,
237,0,0,0,0,
238,0,0,0,0,
239,0,0,0,0,
240,0.0111,0.0008,0.0002,0.0001,
241,0.014,0.0049,0.0013,0.001,
242,0.0012,0.2195,0.0571,0.0097,
243,0.0351,0.0664,0.0125,0.0025,
244,0.0106,0.0019,0.0001,0,
245,0.0082,0.0223,0.0003,0,
246,0.1439,0.0348,0.006,0.0039,
247,0.0062,0.1554,0.0583,0.0002,
248,0.003,0.0007,0.0007,0,
249,0.0032,0.0087,0.0093,0.0011,
250,0.0004,0.0004,0,0.0004,
251,0.0069,0.0089,0.002,0.0025,
252,0.0103,0.0052,0.0019,0.0011,
253,0.0103,0.0011,0.0085,0.0154,
254,0.3145,0.4163,0.2882,0.2301,
255,0,0.0001,0,0.0001,
256,0,0.0001,0,0,
257,0.0024,0.0007,0,0.0002,
258,0.0273,0.0061,0.001,0.0013,
259,0.0815,0.389,0.5015,0.3868,
260,0.0165,0.0025,0.003,0.0058,
261,0.0006,0,0,0,
262,0.1374,0.1505,0.0863,0.0409,
263,0.0008,0.0001,0,0,
264,0.018,0.0088,0.0246,0.032,
265,0.0134,0.0027,0,0,
266,0.0011,0.1573,0.0182,0.0005,
267,0,0,0,0,
268,0.0005,0,0,0.0001,
269,0.0072,0.0053,0.0022,0.0006,
270,0.0001,0,0,0,
271,0.0066,0,0.0002,0,
272,0.0122,0.1228,0.0014,0.0004,
273,0,0,0,0,
274,0.0038,0.0074,0.0014,0,
275,0.0063,0.3581,0.0313,0.01,
276,0.0005,0.0252,0.0031,0.0007,
277,0.0007,0,0,0,
278,0.0063,0,0,0,
279,0.0121,0.0035,0,0,
280,0,0,0,0,
281,0.0252,0.1059,0.1112,0.0742,
282,0.001,0.003,0.0035,0,
283,0.0016,0.0005,0.0003,0.0002,
284,0.0036,0.0031,0,0,
285,0.0005,0.0009,0.0016,0.0016,
286,0,0.0003,0.0002,0.0001,
287,0.047,0.0659,0.0308,0.0187,
288,0.0002,0.0001,0,0,
289,0.1208,0.3681,0.1698,0.114,
290,0.0042,0.0136,0.0045,0.0085,
291,0.0105,0.0011,0.0007,0,
292,0.0164,0.0085,0.0101,0.0019,
293,0.0382,0.0168,0.0349,0.043,
294,0,0.0014,0.0071,0.0012,
295,0.0007,0,0,0,
296,0.0208,0.0214,0.0065,0.0005,
297,0.0338,0.0719,0.0111,0.01,
298,0.0549,0.0411,0.0129,0.0023,
300,0.1512,0.5497,0.3147,0.1658,
301,0.0221,0.0915,0.03,0.0579,
302,0,0,0,0,
303,0.0003,0.0004,0,0,
304,0.0626,0.0098,0.0013,0.0013,
305,0.0035,0.0716,0.0041,0.0002,
306,0.0024,0.0123,0.0027,0.0019,
307,0.0001,0,0,0,
308,0,0,0,0,
309,0.0004,0,0,0,
310,0.0008,0,0,0,
311,0.0001,0,0,0,
312,0.001,0.0009,0.0001,0.0002,
313,0.0006,0.0264,0.0129,0.0024,
314,0.0094,0.315,0.0848,0.1605,
315,0.0007,0.0097,0.0013,0.0053,
316,0.0146,0.0028,0,0,
317,0.0294,0.1023,0.0481,0.003,
