Specimen,Femur length [mm],Stiffness [N/mm],Yield Stiffness [N/mm],Max Load [N],Yield Load [N],Fracture Load [N],Post-yield Deflection [mm],Disp at Yield [mm],Disp at Fx [mm],Disp at Max Load [mm],Total Work [N-mm],Work to Yield [N-mm],Work Post-yield [N-mm]
DO-365,15.6,244.976,220.48,43.74,18.78,43.32,0.316,0.081,0.397,0.397,38.15,2.4,35.75
DO-366,15.23,195.267,175.74,36.01,27.29,33.21,0.394,0.16,0.554,0.377,52.53,6.65,45.88
DO-367,15.38,236.421,212.78,42.93,33.95,42.07,0.085,0.155,0.24,0.233,22.2,7.79,14.41
DO-368,15.05,323.35,291.01,49.95,38.63,49.9,0.135,0.137,0.272,0.265,31.38,7.39,24
DO-369,15.85,337.719,303.95,43.26,27.57,42.66,0.144,0.089,0.233,0.231,23.78,3.8,19.98
DO-370,14.82,235.625,212.06,42.88,34.41,41.9,0.086,0.163,0.249,0.246,23.67,8.38,15.3
DO-371,13.61,200.521,180.47,30.63,17.15,29.46,0.231,0.221,0.452,0.443,26.67,3.85,22.81
DO-372,14.87,252.171,226.95,34.86,19.32,33.99,0.186,0.084,0.27,0.249,22.92,2.36,20.56
DO-373,15.84,203.568,183.21,25.66,20.99,20.07,0.276,0.115,0.391,0.207,23.34,3.68,19.67
DO-374,15.96,343.104,308.79,59.87,38.32,57.69,0.229,0.14,0.369,0.326,53.78,7.72,46.06
DO-375,14.99,244.607,220.15,45.21,33.76,40.93,0.269,0.149,0.419,0.336,47.6,7.76,39.83
DO-376,16,249.389,224.45,35.16,16.26,34.5,0.149,0.073,0.222,0.215,18.58,1.64,16.94
DO-377,15.89,256.217,230.6,36.76,18.28,36.17,0.363,0.077,0.44,0.437,37.24,2.25,34.99
DO-378,15.63,297.464,267.72,51.43,27.9,49.69,0.291,0.104,0.395,0.296,50.88,4.23,46.64
DO-379,15.44,250.397,225.36,35.37,29.34,33.87,0.221,0.129,0.35,0.283,32.86,5.85,27
DO-380,15.36,224.183,201.76,41.78,38.39,39.68,0.101,0.193,0.294,0.257,28.16,10.64,17.52
DO-381,15.87,265.692,239.12,53.44,29.98,49.11,0.387,0.123,0.51,0.369,70.65,5.57,65.08
DO-382,14.3,234.33,210.9,33.5,25.35,33.29,0.061,0.121,0.181,0.182,12.29,4.16,8.13
DO-383,15,238.057,214.25,41.85,28.72,41.38,0.089,0.136,0.225,0.222,20.03,6.05,13.98
DO-384,14.52,342.952,308.66,44.11,40.19,43.72,0.03,0.136,0.165,0.167,16.19,8.31,7.88
DO-385,14.46,254.029,228.63,45.65,25.07,45.24,0.242,0.111,0.353,0.352,37.41,4.21,33.21
DO-386,14.9,235.239,211.72,27.26,15.81,27.26,0.128,0.073,0.202,0.202,13.84,1.64,12.2
DO-387,15.83,264.607,238.15,28.75,20.95,28.11,0.103,0.087,0.189,0.186,12.71,2.7,10.01
DO-388,15.76,273.649,246.28,29.08,15.81,22.29,0.272,0.064,0.336,0.206,23.88,1.49,22.39
DO-389,14.65,263.637,237.27,33.99,19.15,33.76,0.206,0.078,0.284,0.284,22.96,2.2,20.76
DO-390,14.29,239.264,215.34,38.3,30.24,37.41,0.272,0.183,0.455,0.404,42,7.1,34.9
DO-391,15.67,219.313,197.38,28.31,22.6,27.99,0.391,0.114,0.505,0.502,39.12,3.78,35.33
DO-392,16.21,334.995,301.5,50.65,27.32,50.65,0.166,0.09,0.256,0.256,29.54,3.8,25.74
DO-393,15.6,256.689,231.02,25.41,20.93,25.24,0.025,0.09,0.115,0.115,5.91,2.79,3.12
DO-394,15.53,260.511,234.46,31.74,25.12,31.44,0.043,0.106,0.149,0.15,9.98,3.91,6.07
DO-395,15.43,242.503,218.25,38.75,34.71,38.6,0.037,0.234,0.271,0.27,20.65,11.08,9.57
DO-396,14.56,257.459,231.71,37.22,21.27,36.89,0.185,0.093,0.278,0.278,24.38,2.9,21.48
DO-397,16.67,281.902,253.71,54.1,26.42,54.07,0.21,0.103,0.313,0.303,39.56,4.36,35.2
DO-398,15.75,292.382,263.14,44.01,20.69,42.32,0.259,0.077,0.336,0.278,37.71,2.67,35.04
DO-399,15.38,268.759,241.88,35.68,14.44,34.63,0.257,0.059,0.317,0.196,29.63,1.22,28.41
DO-400,13.9,199.764,179.79,22.17,16.13,21.77,0.138,0.09,0.229,0.226,11.55,2.09,9.46
DO-401,15.84,288.608,259.75,47.81,32.01,43.65,0.264,0.123,0.387,0.288,44.28,5.62,38.66
DO-402,15.3,281.586,253.43,38.64,25.4,38.07,0.139,0.099,0.238,0.237,21.82,3.45,18.37
DO-403,14.41,237.969,214.17,33.31,20.56,33.09,0.202,0.097,0.299,0.296,23.9,2.86,21.04
DO-404,14.85,232.337,209.1,35.16,19.2,34.62,0.154,0.092,0.246,0.245,18.89,3.03,15.87
DO-405,14.82,264.077,237.67,31.74,24.78,31.36,0.205,0.104,0.309,0.31,26.89,3.88,23.01
DO-406,15.52,223.316,200.98,29.47,16.45,28.8,0.232,0.081,0.313,0.286,23.16,2.08,21.08
DO-407,15.74,240.053,216.05,24.66,23.38,23.91,0.116,0.107,0.223,0.214,13.78,4,9.78
DO-408,15.48,175.364,157.83,18.74,15.61,18.18,0.089,0.095,0.184,0.183,7.69,2.34,5.36
DO-409,15.69,226.484,203.84,33.36,23.43,32.98,0.283,0.114,0.397,0.396,32.06,4.05,28
DO-410,14.78,239.115,215.2,29.9,20.4,29.55,0.363,0.094,0.457,0.449,32.58,2.92,29.65
DO-411,14.51,203.33,183,42.01,26,42.01,0.086,0.141,0.227,0.227,19.07,5.68,13.38
DO-412,15.19,271.681,244.51,47.89,43.2,47.55,0.069,0.178,0.247,0.234,27.02,12.04,14.99
DO-413,14.3,170.146,153.13,22.23,,21.85,0,,0.172,0.17,6.57,6.57,0
DO-414,15.42,329.426,296.48,54.27,49.47,54.04,0.045,0.17,0.215,0.215,26.63,13.02,13.61
DO-415,15.5,277.659,249.89,33.39,32.95,33.19,0.002,0.174,0.176,0.174,10.82,7.7,3.12
DO-416,16.17,340.913,306.82,45.08,38.02,44.93,0.035,0.121,0.155,0.153,15.13,7.76,7.36
DO-417,14.51,212.574,191.32,31.73,28.86,31.3,0.054,0.152,0.206,0.197,14.53,6.55,7.97
DO-418,15.91,94.781,85.3,28.75,27.89,28.75,0.001,0.499,0.5,0.5,14.19,6.94,7.25
DO-419,15.04,92.544,83.29,34.61,24.32,32.82,0.24,0.295,0.535,0.508,19.86,3.67,16.19
DO-420,15.26,52.228,47,19.22,7.48,19.08,0.257,0.146,0.403,0.403,7.93,1.37,6.56
DO-421,15.06,47.918,43.13,17.68,12.42,11.77,0.53,0.286,0.816,0.636,14.9,2.03,12.88
DO-422,14.71,56.295,50.67,18.12,15.66,10.84,0.291,0.305,0.597,0.379,10.23,0.61,9.63
DO-423,15.51,73.737,66.36,18.08,14.8,16.02,0.298,0.223,0.521,0.401,11.01,1.82,9.19
DO-424,16.31,66.804,60.12,21.64,19.29,21.15,0.126,0.313,0.44,0.429,10.83,3.42,7.4
DO-425,15.74,50.685,45.62,14.56,9.89,13.18,0.219,0.211,0.43,0.41,6.85,1.16,5.7
DO-426,15.26,59.637,53.67,18.15,9.6,15.8,0.399,0.191,0.59,0.559,11.26,0.99,10.26
DO-427,15.13,73.645,66.28,21.33,17.34,20.02,0.138,0.27,0.408,0.384,9.33,2.47,6.86
DO-428,15.24,58.855,52.97,18.11,11.36,14.56,0.593,0.217,0.81,0.599,15.83,1.34,14.49
DO-429,17.12,107.383,96.64,41.6,39.33,40.97,0.133,0.44,0.573,0.527,26.13,8.96,17.17
DO-430,15.9,68.811,61.93,25.25,24.28,25.14,0.034,0.48,0.515,0.509,13.3,5.89,7.41
DO-431,15.43,61.267,55.14,15.99,12,15.46,0.166,0.212,0.378,0.377,6.74,1.45,5.29
DO-432,15.65,55.183,49.66,22.98,12.86,13.92,0.963,0.256,1.22,0.589,27.12,1.81,25.31
DO-433,13.82,67.364,60.63,16.61,14.93,15.95,0.092,0.246,0.338,0.313,6.19,2.01,4.18
DO-434,15.93,62.423,56.18,17.63,16.17,17.16,0.139,0.303,0.442,0.373,8.8,2.51,6.29
DO-435,15.22,59.03,53.13,17.47,15.56,12.19,0.204,0.293,0.497,0.375,8.66,2.32,6.34
DO-436,15.05,57.041,51.34,15.97,8.82,15.68,0.147,0.175,0.322,0.316,5.33,0.85,4.48
DO-437,16.18,65.681,59.11,27.69,20.79,27.14,0.131,0.359,0.49,0.487,13.95,4.05,9.91
DO-438,16.06,227.918,205.13,31.45,27.17,28.2,0.336,0.141,0.477,0.285,18.77,1.95,16.82
DO-439,15.95,145.16,130.64,24.12,19.31,20.68,0.294,0.152,0.446,0.301,12.49,1.6,10.89
DO-440,14.91,159.602,143.64,26.75,13.8,26.29,0.459,0.095,0.554,0.553,17.01,0.74,16.27
DO-441,16.09,167.908,151.12,36.78,16.72,33.55,0.399,0.116,0.515,0.516,19.4,1.02,18.37
DO-442,15.46,133.191,119.87,19.85,17.43,19.41,0.074,0.155,0.229,0.221,5.02,1.41,3.61
DO-443,15.38,112.231,101.01,35.07,14.8,34.45,0.491,0.138,0.63,0.616,24.02,1.16,22.86
DO-444,15.25,217.675,195.91,43.71,26.97,43.25,0.163,0.136,0.299,0.294,14.38,2,12.39
DO-445,14.55,163.409,147.07,24.99,16.68,24.46,0.131,0.117,0.247,0.232,7.05,1.06,6
DO-446,15.41,213.444,192.1,57.95,27.57,56.68,0.361,0.148,0.508,0.503,31.56,2.18,29.38
DO-447,15.73,287.225,258.5,48.65,46.71,48.2,0.022,0.221,0.243,0.233,11.93,4.81,7.12
DO-448,14.46,172.163,154.95,37.8,35.89,37.15,0.025,0.245,0.269,0.268,10.56,4.65,5.9
DO-449,15.54,165.808,149.23,28.61,20.24,28.18,0.163,0.141,0.304,0.298,9.73,1.52,8.21
DO-450,13.99,117.261,105.54,30.45,12.89,30.22,0.327,0.124,0.451,0.445,14.62,0.86,13.76
DO-451,14.71,126.839,114.15,34.66,27.02,31.61,0.291,0.242,0.533,0.401,21.53,3.55,17.98
DO-452,15.23,182.856,164.57,36.18,18.55,35.92,0.253,0.111,0.364,0.361,14.72,1.1,13.63
DO-453,16.14,166.368,149.73,26.47,,26.47,0,,0.174,0.174,4.51,4.51,0
DO-454,15.24,141.312,127.18,33.22,14.53,32.74,0.153,0.116,0.269,0.266,8.7,0.91,7.79
DO-455,15.59,165.504,148.95,40.58,18.77,40.58,0.2,0.168,0.368,0.368,15.61,1.59,14.01
DO-456,14.67,165.741,149.17,31.9,23.74,31.85,0.277,0.175,0.453,0.446,17.61,2.17,15.44
DO-457,15.49,137.274,123.55,35.05,13.66,22.27,0.265,0.11,0.375,0.271,11.18,0.81,10.37
DO-458,15.78,221.29,199.16,43.08,41.95,43.08,0.011,0.236,0.247,0.247,10.83,4.95,5.87
DO-459,15.27,240.526,216.47,43.29,39.59,40.25,0.177,0.225,0.402,0.31,19.71,4.23,15.49
DO-460,15.58,150.11,135.1,28.37,15.27,23.15,0.291,0.111,0.402,0.4,11.24,0.94,10.3
DO-461,15.15,197.256,177.53,45.31,44.26,43.62,0.02,0.299,0.319,0.311,14.6,6.55,8.05
DO-462,16.13,196.808,177.13,40.21,32.93,39.78,0.056,0.204,0.26,0.259,10.69,3.55,7.14
DO-463,15.06,160.057,144.05,23.81,19.96,23.4,0.058,0.146,0.204,0.195,5.24,1.53,3.7
DO-464,15.12,167.411,150.67,39.37,33.21,38.75,0.314,0.235,0.549,0.548,26.25,4.03,22.22
DO-465,15.47,153.335,138,28.77,,28.77,0,,0.208,0.208,5.9,5.9,0
DO-466,14.48,129.096,116.19,31.28,29.14,22.1,0.269,0.25,0.519,0.292,16.83,1.86,14.97
DO-467,16.76,183.057,164.75,24.58,19.52,24.37,0.132,0.116,0.248,0.245,7.2,1.2,5.99
DO-468,15.42,126.668,114,28.22,14.96,24.95,0.49,0.131,0.621,0.461,20.25,1.04,19.2
DO-469,14.56,127.583,114.82,25.6,23.35,24.82,0.031,0.209,0.24,0.233,6.34,2.58,3.77
DO-470,15.77,109.458,98.51,17.41,9.13,6.32,0.255,0.094,0.349,0.287,4.7,0.46,4.25
DO-471,16.33,143.184,128.87,36.23,35.51,36.23,0.012,0.277,0.289,0.289,10.82,5.03,5.79
DO-472,15.74,156.278,140.65,25.48,21.52,25.15,0.161,0.155,0.316,0.313,9.6,1.8,7.81
DO-473,15.68,273.775,246.4,55.8,42.62,55.45,0.137,0.204,0.34,0.337,20.51,4.28,16.23
DO-474,14.05,132.209,118.99,37.11,,36.64,0,,0.311,0.31,11.72,11.72,0
DO-475,16.05,206.521,185.87,43.12,36.87,43.12,0.07,0.214,0.284,0.284,13.08,4.1,8.99
DO-476,13.58,106.238,95.61,25.06,24.38,24.82,0.003,0.25,0.253,0.252,6.52,3.22,3.31
DO-477,14.58,154.489,139.04,34.97,33.94,34.38,0.134,0.298,0.432,0.338,17.09,4.91,12.18
DO-478,15.3,239.42,215.48,44.87,38.66,44.65,0.083,0.195,0.278,0.276,13.65,3.9,9.74
DO-479,15.45,210.408,189.37,36.75,35.73,36.31,0.011,0.222,0.233,0.228,8.5,3.89,4.62
DO-480,14.63,167.564,150.81,36.72,22.42,36.55,0.233,0.177,0.411,0.405,16.13,1.97,14.17
DO-481,14.62,170.133,153.12,23.1,19.32,22.39,0.109,0.133,0.241,0.235,6.46,1.36,5.1
DO-482,15.85,212.433,191.19,33.29,21.51,32.87,0.106,0.119,0.225,0.223,7.74,1.37,6.37
DO-483,14.51,82.4,74.16,27.05,11.17,20.3,0.451,0.146,0.597,0.383,16.64,0.92,15.73
DO-484,15.12,112.777,101.5,27.89,15.67,27.26,0.235,0.209,0.444,0.432,14.25,2.41,11.84
DO-485,15.01,131.76,118.58,36.93,20.93,36.58,0.173,0.181,0.354,0.351,13.64,1.83,11.81
DO-486,15.29,246.009,221.41,36.68,30.51,36.68,0.078,0.17,0.248,0.248,9.69,2.46,7.23
DO-487,13.72,156.853,141.17,21.99,19.93,21.66,0.041,0.146,0.187,0.186,4.43,1.54,2.89
DO-488,15.54,172.131,154.92,32.9,27.12,32.28,0.115,0.198,0.313,0.302,11.3,2.73,8.57
DO-489,15.01,189.812,170.83,35.95,25.33,35.95,0.135,0.16,0.296,0.296,11.68,2.11,9.57
DO-490,16.32,196.03,176.43,35.27,24.4,35.55,0.118,0.171,0.29,0.284,10.67,1.98,8.69
DO-491,15.33,233.074,209.77,29.12,27.98,28.15,0.031,0.155,0.186,0.178,5.64,2.19,3.45
DO-492,14.86,213.094,191.78,46.37,39.07,45.25,0.178,0.242,0.42,0.375,22.05,4.64,17.41
DO-493,16.62,237.541,213.79,48.32,39.33,42.88,0.127,0.21,0.337,0.331,17.03,4.18,12.85
DO-494,15.5,128.922,116.03,17.76,15.98,17.39,0.043,0.141,0.184,0.176,3.56,1.21,2.35
DO-495,15.95,249.86,224.87,42.94,32.21,42.94,0.061,0.164,0.224,0.224,9.69,2.61,7.08
DO-496,16.08,255.53,229.98,37.3,28.7,36.77,0.22,0.149,0.37,0.356,16.19,2.14,14.05
DO-497,16.44,183.228,164.91,34.91,33.53,34.64,0.024,0.222,0.246,0.245,8.96,3.91,5.05
DO-498,14.53,85.438,76.89,22.62,16.47,22.57,0.102,0.240,0.342,0.342,8.31,2.43,5.88
DO-499,15.23,136.523,122.87,30.01,24.82,28.79,0.294,0.210,0.503,0.503,18.37,2.81,15.57
DO-500,15.80,161.511,145.36,49.32,40.52,22.41,0.176,0.286,0.462,0.383,17.66,6.15,11.51
DO-501,15.75,177.189,159.47,29.57,27.66,29.40,0.020,0.186,0.206,0.198,6.31,2.66,3.65
DO-502,14.85,161.738,145.56,35.42,33.62,34.10,0.048,0.277,0.326,0.292,11.76,4.53,7.23
DO-503,15.88,100.998,90.90,29.70,,29.47,0.000,,0.258,0.256,7.36,7.36,0.00
DO-504,15.52,134.178,120.76,27.74,20.20,20.89,0.503,0.163,0.666,0.319,20.59,1.80,18.79
DO-505,15.38,194.053,174.65,31.31,29.13,29.96,0.024,0.187,0.211,0.201,6.67,2.74,3.92
DO-506,15.61,150.218,135.20,32.39,28.44,30.52,0.160,0.231,0.391,0.326,14.13,3.39,10.74
DO-507,15.74,188.061,169.25,43.99,29.05,43.33,0.378,0.175,0.553,0.535,29.27,2.76,26.51
DO-508,15.55,138.382,124.54,29.43,27.55,29.30,0.037,0.254,0.291,0.291,8.94,3.53,5.42
DO-509,14.20,196.356,176.72,40.43,37.29,39.83,0.038,0.245,0.283,0.279,11.64,4.48,7.16
DO-510,15.99,132.577,119.32,52.20,,51.66,0.000,,0.412,0.404,21.92,21.92,0.00
DO-511,14.84,185.575,167.02,37.83,30.62,37.42,0.092,0.211,0.304,0.303,12.12,3.20,8.92
DO-512,15.36,152.781,137.50,45.80,37.55,44.83,0.103,0.307,0.410,0.403,19.51,6.11,13.40
DO-513,15.41,177.076,159.37,36.39,30.36,33.01,0.210,0.217,0.428,0.319,17.52,3.30,14.21
DO-514,16.35,186.494,167.84,38.81,28.45,35.90,0.224,0.203,0.427,0.368,18.43,2.83,15.60
DO-515,14.49,146.739,132.07,43.45,39.38,43.28,0.083,0.306,0.390,0.391,18.49,6.73,11.77
DO-516,16.78,234.061,210.65,46.28,42.24,44.03,0.139,0.243,0.382,0.353,19.48,4.84,14.64
DO-517,15.35,157.928,142.14,31.81,25.38,31.47,0.097,0.249,0.346,0.347,11.14,2.96,8.18
DO-518,14.69,90.761,81.68,21.80,6.12,21.53,0.150,0.074,0.224,0.223,4.64,0.21,4.43
DO-519,15.32,130.762,117.69,33.52,17.66,19.70,0.185,0.153,0.339,0.293,9.40,1.47,7.93
DO-520,15.38,162.520,146.27,34.43,,34.43,0.000,,0.226,0.226,7.67,7.67,0.00
DO-521,15.34,206.428,185.79,47.74,45.88,31.53,0.064,0.298,0.361,0.324,15.04,6.66,8.38
DO-522,16.46,186.894,168.20,41.59,23.10,39.90,0.144,0.136,0.280,0.279,11.89,1.72,10.17
DO-523,16.79,204.634,184.17,34.56,27.64,33.69,0.092,0.177,0.269,0.268,9.92,2.40,7.52
DO-524,14.52,120.276,108.25,29.38,14.73,7.70,0.407,0.132,0.539,0.372,10.10,1.06,9.04
DO-525,14.98,199.938,179.94,43.12,41.12,42.32,0.023,0.253,0.276,0.266,12.19,5.16,7.03
DO-526,15.77,209.376,188.44,35.37,30.69,34.95,0.046,0.187,0.232,0.225,8.47,2.85,5.62
DO-527,14.58,200.227,180.20,27.50,,27.50,0.000,,0.200,0.200,5.06,5.06,0.00
DO-528,15.08,190.591,171.53,40.34,10.29,38.71,0.231,0.057,0.289,0.278,11.98,0.26,11.72
DO-529,15.07,182.192,163.97,33.94,17.52,33.23,0.442,0.106,0.548,0.509,21.84,1.00,20.84
DO-530,15.77,239.923,215.93,37.53,28.75,37.38,0.055,0.134,0.188,0.189,7.43,2.05,5.37
DO-531,15.87,135.370,121.83,35.75,13.29,24.15,0.406,0.102,0.507,0.361,17.30,0.76,16.54
DO-532,14.86,183.604,165.24,28.58,25.11,27.24,0.031,0.152,0.182,0.178,5.36,2.04,3.32
DO-533,14.11,116.336,104.70,30.16,10.20,26.22,0.644,0.095,0.739,0.538,26.05,0.53,25.52
DO-534,14.08,120.487,108.44,26.39,11.29,26.04,0.230,0.101,0.332,0.332,9.19,0.62,8.57
DO-535,15.23,169.875,152.89,27.00,14.85,21.13,0.272,0.094,0.366,0.252,10.14,0.78,9.36
DO-536,15.81,234.651,211.19,43.01,39.53,42.77,0.063,0.188,0.251,0.242,11.99,4.01,7.98
DO-537,14.67,194.740,175.27,37.44,31.55,36.71,0.093,0.182,0.274,0.272,11.36,2.84,8.52
DO-538,14.91,180.767,162.69,26.17,22.93,25.79,0.083,0.136,0.219,0.216,6.67,1.73,4.95
DO-539,15.50,185.339,166.81,25.59,18.02,25.20,0.135,0.104,0.239,0.239,7.08,1.03,6.05
DO-540,15.31,135.456,121.91,27.87,7.20,12.57,0.225,0.056,0.280,0.249,5.77,0.23,5.54
DO-541,14.69,180.916,162.82,38.04,13.95,37.61,0.326,0.083,0.409,0.394,17.36,0.62,16.74
DO-542,16.20,163.618,147.26,31.56,16.12,31.48,0.129,0.111,0.240,0.236,7.75,0.82,6.93
DO-543,15.74,232.947,209.65,44.01,43.43,43.43,0.001,0.209,0.208,0.208,9.54,4.91,4.63
DO-544,15.91,203.740,183.37,36.27,17.74,35.10,0.341,0.091,0.432,0.428,16.67,0.87,15.79
DO-545,15.98,125.267,112.74,40.06,37.13,37.44,0.048,0.327,0.374,0.349,15.51,6.66,8.85
DO-546,15.68,138.998,125.10,31.52,19.36,30.36,0.154,0.151,0.305,0.305,10.12,1.54,8.57
DO-547,15.99,249.670,224.70,39.72,35.45,39.72,0.035,0.163,0.199,0.199,8.26,3.03,5.23
DO-548,14.19,161.666,145.50,32.23,25.17,31.61,0.128,0.180,0.308,0.308,10.98,2.24,8.75
DO-549,14.93,127.346,114.61,26.39,10.61,22.65,0.284,0.091,0.375,0.360,11.89,0.47,11.42
DO-550,14.62,130.814,117.73,15.48,11.16,14.43,0.205,0.093,0.299,0.269,5.44,0.58,4.85
DO-551,14.65,94.884,85.40,12.09,7.25,11.94,0.127,0.078,0.205,0.204,2.74,0.39,2.36
DO-552,15.67,112.957,101.66,32.05,19.54,23.91,0.112,0.282,0.393,0.277,11.47,4.20,7.27
DO-553,15.82,156.039,140.44,43.55,43.08,43.07,0.005,0.313,0.318,0.311,14.32,7.19,7.13
DO-554,15.94,134.529,121.08,24.01,10.76,23.44,0.229,0.090,0.319,0.260,8.76,0.51,8.24
DO-555,15.40,169.140,152.23,36.88,18.37,36.59,0.125,0.118,0.243,0.242,9.18,1.19,8.00
DO-556,14.80,209.839,188.85,34.68,30.86,33.56,0.080,0.171,0.251,0.247,28.70,12.33,16.37
DO-557,14.93,147.989,133.19,21.59,20.65,19.75,0.010,0.153,0.163,0.151,3.60,1.60,1.99
DO-558,15.58,150.507,135.46,29.23,16.18,14.42,0.433,0.122,0.555,0.381,13.47,1.05,12.43
DO-559,14.88,220.453,198.41,36.71,21.29,36.71,0.104,0.108,0.212,0.212,8.00,1.11,6.88
DO-560,15.20,208.351,187.52,41.30,32.16,38.39,0.181,0.177,0.357,0.275,16.98,2.73,14.25
DO-561,16.85,215.216,193.69,21.71,15.11,21.71,0.069,0.087,0.156,0.156,3.76,0.77,2.99
DO-562,13.82,121.823,109.64,18.27,14.84,17.86,0.082,0.129,0.211,0.203,4.36,1.07,3.29
DO-563,15.07,191.544,172.39,40.59,22.86,40.24,0.157,0.128,0.285,0.285,12.51,1.63,10.88
DO-564,15.13,178.911,161.02,35.76,26.23,35.32,0.099,0.164,0.262,0.259,9.86,2.14,7.72
DO-565,16.15,157.563,141.81,27.79,18.73,14.57,0.162,0.131,0.293,0.181,6.34,1.32,5.01
DO-566,13.86,150.238,135.21,29.28,15.45,28.66,0.313,0.116,0.429,0.417,13.84,0.85,12.99
DO-567,15.07,124.933,112.44,20.39,13.51,20.07,0.316,0.120,0.436,0.430,10.51,0.85,9.66
DO-568,14.80,211.291,190.16,35.62,29.78,35.02,0.051,0.160,0.211,0.207,7.96,2.61,5.36
DO-569,16.62,206.742,186.07,21.50,12.11,15.18,0.163,0.065,0.228,0.134,4.73,0.46,4.27
DO-570,13.98,107.726,96.95,29.50,28.11,28.47,0.058,0.339,0.397,0.364,12.33,4.93,7.40
DO-571,14.38,231.602,208.44,40.12,33.34,39.03,0.099,0.170,0.269,0.267,12.01,2.99,9.02
DO-572,15.63,151.481,136.33,25.35,16.94,25.17,0.171,0.123,0.294,0.293,8.75,1.21,7.54
DO-573,15.18,162.243,146.11,39.91,38.10,39.91,0.034,0.295,0.329,0.329,13.44,5.68,7.75
DO-574,14.15,133.472,120.12,17.20,10.92,16.58,0.133,0.146,0.279,0.276,5.44,1.23,4.22
DO-575,14.92,155.511,139.96,27.93,19.52,18.04,0.276,0.130,0.406,0.272,11.30,1.42,9.88
DO-576,14.22,136.396,122.76,20.20,16.71,19.56,0.103,0.135,0.238,0.229,5.53,1.21,4.31
DO-577,14.87,278.649,250.78,41.92,41.47,41.13,0.001,0.188,0.189,0.181,7.98,3.89,4.09
DO-578,14.76,188.865,169.98,34.04,,34.04,0.000,,0.191,0.191,3.50,3.50,0.00
