Specimen,Femur length [mm],Stiffness [N/mm],Yield Stiffness [N/mm],Max Load [N],Yield Load [N],Fracture Load [N],Post-yield Deflection [mm],Disp at Yield [mm],Disp at Fx [mm],Disp at Max Load [mm],Total Work [N-mm],Work to Yield [N-mm],Work Post-yield [N-mm]
DO-226,16.13,272.91,245.62,38.98,33.47,38.55,0.035,0.15,0.185,0.185,14.87,7.61,7.26
DO-227,16.09,223.389,201.05,36.03,30.58,35.75,0.073,0.154,0.227,0.225,17.89,7.14,10.75
DO-228,11.08,56.721,51.05,20.02,7.77,19.92,0.306,0.148,0.454,0.453,17.95,1.77,16.18
DO-229,14.33,160.181,144.16,27.51,,27.51,0,,0.169,0.169,6.54,6.54,0
DO-230,15.88,219.248,197.32,38.28,26.9,38.28,0.057,0.133,0.19,0.19,14.53,5.16,9.37
DO-231,14.67,178.093,160.28,36.48,32.11,29.7,0.626,0.205,0.831,0.431,82.89,9.83,73.07
DO-232,15.94,210.158,189.14,33.72,22.68,33.52,0.083,0.117,0.2,0.198,15.09,4.34,10.74
DO-233,14.77,228.728,205.85,44.02,33.02,44.02,0.091,0.16,0.251,0.251,12,2.9,9.1
DO-234,15.23,258.205,232.38,44.97,,44.75,0,,0.177,0.177,8.11,8.11,0
DO-235,15.12,262.115,235.9,41.4,38.82,41.35,0.003,0.166,0.169,0.169,7.19,3.57,3.62
DO-236,15.31,231.849,208.66,39.07,33.94,28.51,0.088,0.165,0.253,0.207,9.52,3.04,6.48
DO-237,14.09,190.642,171.58,35.9,34.63,35.9,0.033,0.204,0.237,0.237,9.22,3.81,5.41
DO-238,15.4,217.526,195.77,40.25,30.84,40.14,0.087,0.157,0.244,0.244,10.6,2.65,7.95
DO-239,15.09,289.907,260.92,53.14,28.16,50.73,0.171,0.109,0.28,0.263,16.29,1.68,14.61
DO-240,14.98,280.489,252.44,51.44,42.99,51.13,0.068,0.193,0.26,0.258,14.12,4.18,9.93
DO-241,14.4,221.567,199.41,32.26,29.43,32.26,0.017,0.151,0.168,0.168,5.59,2.37,3.22
DO-242,15.66,238.883,214.99,45.1,40.05,39.62,0.322,0.186,0.508,0.26,27.42,4.05,23.37
DO-243,15.72,298.044,268.24,45.44,35.1,45.31,0.086,0.133,0.219,0.219,11.07,2.52,8.55
DO-244,15.21,234.081,210.67,44.22,26.63,39.21,0.261,0.123,0.385,0.283,19.2,1.83,17.36
DO-245,16.02,191.618,172.46,26.34,18.09,25.85,0.085,0.107,0.192,0.191,5.47,1.09,4.38
DO-246,15.64,114.741,103.27,34.55,27.71,33.92,0.202,0.249,0.451,0.436,17.46,3.45,14.01
DO-247,15.95,216.491,194.84,34,24.29,33.84,0.052,0.124,0.176,0.174,6.11,1.65,4.45
DO-248,15.82,272.26,245.03,42.25,34.95,41.6,0.077,0.141,0.218,0.213,10.22,2.7,7.52
DO-249,15.66,141.846,127.66,32.6,6.66,27.1,0.507,0.051,0.559,0.515,18.28,0.19,18.09
DO-250,16.4,177.574,159.82,25.76,13.27,25.18,0.105,0.092,0.197,0.196,5.28,1.22,4.06
DO-251,15.07,158.454,142.61,28.15,11.84,27.77,0.253,0.092,0.346,0.345,10.77,1.09,9.68
DO-252,15.16,147.784,133.01,19.41,11.48,19.41,0.073,0.079,0.152,0.152,3.13,0.54,2.59
DO-253,15.88,230.979,207.88,26.39,15.79,25.05,0.056,0.076,0.132,0.129,3.49,0.7,2.8
DO-254,15.24,149.099,134.19,29.45,20.99,26.87,0.161,0.162,0.324,0.315,10.17,1.89,8.29
DO-255,15.62,276.201,248.58,45.97,22.06,45.91,0.132,0.089,0.221,0.22,10.64,1.07,9.57
DO-256,16.15,228.12,205.31,44.39,29.85,43.48,0.059,0.151,0.21,0.208,9.29,2.46,6.82
DO-257,14.45,167.004,150.3,27,19.97,26.67,0.076,0.138,0.214,0.213,6.03,2.76,3.27
DO-258,14.53,149.83,134.85,22.36,15.47,19.97,0.161,0.117,0.278,0.203,6.93,1.81,5.12
DO-259,15.76,190.345,171.31,27.02,19.12,25.48,0.332,0.115,0.447,0.175,14.47,1.18,13.28
DO-260,14.73,216.56,194.9,25.49,17.6,25.4,0.072,0.092,0.165,0.161,4.6,1.62,2.98
DO-261,16.09,225.578,203.02,35.91,26.11,35.91,0.081,0.138,0.218,0.218,8.52,3.6,4.92
DO-262,14.55,137.78,124,35.11,13.6,34.49,0.167,0.107,0.274,0.266,9.75,0.82,8.94
DO-263,15.2,167.37,150.63,26.62,23.71,26.52,0.007,0.158,0.165,0.165,4.47,2.11,2.36
DO-264,14.58,174.698,157.23,34.04,16.9,33.03,0.106,0.11,0.216,0.215,7.41,1.04,6.37
